Order Date,Sales,Sales_Growth_%,Moving_Avg_3M,Moving_Avg_6M,Cumulative_Sales,Sales_Level,Month,Month_Name,Year,YoY_Growth_%,Time_Index
2015-01-01,19546.163,0.0,12647.067000000001,12907.650500000002,19546.163,High,1,Jan,2015,0.0,0
2015-02-01,11678.994,-40.24917320089882,12647.067000000001,12907.650500000002,31225.157,Low,2,Feb,2015,0.0,1
2015-03-01,6716.044,-42.49467034575068,12647.067000000001,12907.650500000002,37941.201,Low,3,Mar,2015,0.0,2
2015-04-01,12455.482,85.45861224256424,10283.506666666666,12907.650500000002,50396.683000000005,Low,4,Apr,2015,0.0,3
2015-05-01,15165.051,21.754027664284692,11445.525666666666,12907.650500000002,65561.734,Low,5,May,2015,0.0,4
2015-06-01,11884.169,-21.63449367892004,13168.233999999999,12907.650500000002,77445.90299999999,Low,6,Jun,2015,0.0,5
2015-07-01,10075.74,-15.217126245848577,12374.986666666666,11329.246666666666,87521.643,Low,7,Jul,2015,0.0,6
2015-08-01,26797.763,165.96322453735408,16252.557333333332,13849.0415,114319.40599999999,High,8,Aug,2015,0.0,7
2015-09-01,17158.932,-35.968789633672024,18010.811666666665,15589.52283333333,131478.338,Low,9,Sep,2015,0.0,8
2015-10-01,10112.641,-41.0648576496486,18023.111999999997,15199.049333333334,141590.979,Low,10,Oct,2015,0.0,9
2015-11-01,18349.764,81.4537270728784,15207.112333333333,15729.834833333332,159940.743,High,11,Nov,2015,0.0,10
2015-12-01,17045.8427,-7.105929536750432,15169.4159,16590.113783333334,176986.5857,Low,12,Dec,2015,0.0,11
2016-01-01,17701.6864,3.8475287584344375,17699.097700000002,17861.10485,194688.2721,Low,1,Jan,2016,-9.436514982505784,12
2016-02-01,13018.315,-26.457204664974732,15921.948033333334,15564.530183333334,207706.5871,Low,2,Feb,2016,11.467777104774601,13
2016-03-01,12207.4066,-6.228981246804988,14309.135999999999,14739.275950000001,219913.9937,Low,3,Mar,2016,81.76483953946698,14
2016-04-01,11963.696,-1.996415848063915,12396.472533333334,15047.785116666666,231877.6897,Low,4,Apr,2016,-3.948349810950713,15
2016-05-01,10483.482,-12.3725477477863,11551.5282,13736.738116666667,242361.17169999998,Low,5,May,2016,-30.870776497883192,16
2016-06-01,13026.6682,24.258983799466627,11824.6154,13066.875699999999,255387.83989999996,Low,6,Jun,2016,9.613622963456692,17
2016-07-01,9991.52,-23.29949725747985,11167.2234,11781.847966666668,265379.3599,Low,7,Jul,2016,-0.8358691272303487,18
2016-08-01,18377.677,83.93274496773262,13798.621733333333,12675.074966666667,283757.0369,High,8,Aug,2016,-31.42085404666054,19
2016-09-01,16484.901,-10.299321290715891,14951.366,13387.9907,300241.9379,Low,9,Sep,2016,-3.928164060560402,20
2016-10-01,12293.038,-25.428499691930217,15718.538666666665,13442.881033333333,312534.9759,Low,10,Oct,2016,21.561103573240658,21
2016-11-01,12139.0395,-1.252729390407803,13638.992833333336,13718.807283333334,324674.01540000003,Low,11,Nov,2016,-33.84634538079072,22
2016-12-01,9761.333,-19.58727047555946,11397.8035,13174.58475,334435.3484,Low,12,Dec,2016,-42.734817094141086,23
2017-01-01,26342.541,169.86622626233526,16080.971166666668,15899.754916666667,360777.88940000004,High,1,Jan,2017,48.81373675222267,24
2017-02-01,42967.915,63.11226392321074,26357.263000000003,19998.127916666668,403745.8044,High,2,Feb,2017,230.05742294605716,25
2017-03-01,25982.287,-39.5309569943061,31764.247666666666,21581.025583333332,429728.09140000003,High,3,Mar,2017,112.8403505458727,26
2017-04-01,19472.164,-25.05600450029668,29474.122,22777.546583333333,449200.2554,High,4,Apr,2017,62.760437911494925,27
2017-05-01,22649.3888,16.31675246777913,22701.279933333335,24529.27146666667,471849.64420000004,High,5,May,2017,116.04833966424515,28
2017-06-01,12755.393,-43.68327943577886,18292.31526666667,25028.281466666667,484605.0372,Low,6,Jun,2017,-2.0824603485333215,29
2017-07-01,16501.007,29.36494391039148,17301.9296,23388.0258,501106.0442,Low,7,Jul,2017,65.15011729946995,30
2017-08-01,24156.3226,46.39302074109779,17804.240866666667,20252.7604,525262.3668,High,8,Aug,2017,31.44383046888897,31
2017-09-01,9789.662,-59.47370731006879,16815.663866666666,17553.989566666667,535052.0288,Low,9,Sep,2017,-40.614371903113046,32
2017-10-01,22599.782,130.8535473441269,18848.58886666667,18075.259233333334,557651.8108,High,10,Oct,2017,83.8421226713852,33
2017-11-01,20378.24,-9.829926678053791,17589.228,17696.734433333335,578030.0508,High,11,Nov,2017,67.87357846557794,34
2017-12-01,21365.1485,4.842952580792059,21447.723499999996,19131.693683333335,599395.1993,High,12,Dec,2017,118.8753165167093,35
2018-01-01,27367.592,28.094555486005635,23036.9935,20942.791183333335,626762.7912999999,High,1,Jan,2018,3.8912381307482757,36
2018-02-01,36285.936,32.58724406590101,28339.558833333333,22964.39341666667,663048.7272999999,High,2,Feb,2018,-15.551089690993846,37
2018-03-01,26882.953,-25.913574339104827,30178.827,25813.275250000002,689931.6802999999,High,3,Mar,2018,3.4664615936233822,38
2018-04-01,21203.607,-21.126198449999155,28124.165333333334,25580.579416666664,711135.2872999999,High,4,Apr,2018,8.891887927813258,39
2018-05-01,15774.127,-25.606398005773258,21286.895666666667,24813.22725,726909.4142999998,Low,5,May,2018,-30.355175853575357,40
2018-06-01,12138.1558,-23.050221416373784,16371.963266666668,23275.395133333335,739047.5700999998,Low,6,Jun,2018,-4.839029263935646,41
2018-07-01,25110.4795,106.87227873611573,17674.254100000002,22899.209716666668,764158.0495999998,High,7,Jul,2018,52.17543692939466,42
2018-08-01,26823.69,6.822691299064987,21357.441766666667,21322.168716666667,790981.7395999997,High,8,Aug,2018,11.042108702423103,43
2018-09-01,23148.87,-13.699904822938237,25027.67983333333,20699.821549999997,814130.6095999997,High,9,Sep,2018,136.4624028899057,44
2018-10-01,17558.322,-24.150414253481912,22510.293999999998,20092.27405,831688.9315999998,Low,10,Oct,2018,-22.30756031186495,45
2018-11-01,17407.27,-0.8602872187900346,19371.487333333334,20364.46455,849096.2015999998,Low,11,Nov,2018,-14.579129502842248,46
2018-12-01,16647.042,-4.367301707849647,17204.211333333336,21115.945583333334,865743.2435999998,Low,12,Dec,2018,-22.08319076275084,47
