Month_Number,Avg_Monthly_Sales,Month_Name,Seasonal_Index
1,22739.495600000002,Jan,1.2607615443364693
2,25987.79,Feb,1.4408589720121958
3,17947.17265,Mar,0.9950574764150547
4,16273.73725,Apr,0.9022760428967441
5,16018.012200000001,May,0.8880977025045536
6,12451.0965,Jun,0.6903347342507634
7,15419.686625,Jul,0.854924324817451
8,24038.863149999997,Aug,1.3328032759480837
9,16645.59125,Sep,0.922893000790379
10,15640.945749999999,Oct,0.867191747149085
11,17068.578375,Nov,0.9463449678141964
12,16204.841550000001,Dec,0.8984562110650239
